ISN Part Number	Description	Cost	Special Retail	Regular Retail	Catalog Page	TW Page	UOM	UPC Code	Weight	Length	Width	Height	Country of Origin
COS20344	BX300 LOCKBACK FOLDING KNIFE	9.99	15.37	18.97			1	15286203441	0.40	6.13	2.88	1.50	CHN
COS20518	POLYSTEEL 600R RECHARGEABL BLACK FLASHLIGHT IN BOX	57.99	89.22	91.99		49	1	15286205186	2.05	11.00	6.00	4.00	CHN
COS20519	POLYSTEEL 600R RECHARGAB RED BODY FLASHLIGHT / BOX	57.99	89.22	91.99		49	1	15286205193	2.05	11.00	6.00	4.00	CHN
COS20520	POLYSTEEL 600R RECHARGE GREEN BODY FLASHLIGHT/ BOX	57.99	89.22	91.99		49	1	15286205209	2.05	11.00	6.00	4.00	CHN
COS20525	POLYSTEEL 600R RECHARGEA BLUE BODY FLASHLIGHT /BOX	57.99	89.22	91.99		49	1	15286205254	2.05	11.00	6.00	3.30	CHN
COS20526	POLYSTEEL 600R RECHARG ORANGE BODY FLASHLIGHT/BOX	57.99	89.22	91.99		49	1	15286205261	2.05	11.00	6.00	3.30	CHN
COS20617	FL75R RECHARGEABLE HEADLAMP BLUE BODY IN GIFT BOX	65.93	101.43	114.98		49	1	15286206176	3.00	5.00	5.00	5.00	CHN
COS20618	FL75R RECHARGEABLE HEADLAMP RED BODY IN GIFT BOX	65.93	101.43	114.98		49	1	15286206183	1.05	7.00	5.00	4.50	CHN
COS20619	FL75R RECHARGEABLE HEADLAMP GREEN BODY IN GIFT BOX	65.93	101.43	114.98		49	1	15286206190	1.05	7.00	5.00	4.60	CHN
COS20620	FL75R RECHARGEABL HEADLAMP ORANGE BODY IN GIFT BOX	65.93	101.43	114.98		49	1	15286206206	1.05	7.00	5.00	4.50	CHN
COS20628	PX1R RECHARGEABLE LED FLASHLIGHT BLACK BODY	59.99	92.29	120.00		81	1	15286206282	1.00	7.00	6.00	3.00	CHN
COS20757	PX1R RECHARGEABLE LED FLASHLIGHT RED BODY	59.99	92.29	120.00		81	1	15286207579	1.00	7.00	6.00	3.00	CHN
COS20758	PX1R RECHARGEABLE LED FLASHLIGHT GREEN BODY	59.99	92.29	120.00		81	1	15286207586	1.00	7.00	6.00	3.00	CHN
COS20759	PX1R RECHARGEABLE LED FLASHLIGHT BLUE BODY	59.99	92.29	120.00		81	1	15286207593	1.00	7.00	6.00	3.00	CHN
COS20760	PX1R RECHARGEABLE LED FLASHLIGHT ORANGE BODY	59.99	92.29	120.00		81	1	15286207609	1.00	7.00	6.00	3.00	CHN
COS21505	G20 LED FLASHLIGHT RED BODY IN GIFT BOX	10.94	16.83	19.13		81	1	15286215055	0.30	7.00	5.00	1.00	CHN
COS21506	G20 LED FLASHLIGHT BLUE BODY IN GIFT BOX	10.94	16.83	19.13		81	1	15286215062	0.30	7.50	2.80	1.20	CHN
COS21507	G20 LED FLASHLIGHT GREEN BODY IN GIFT BOX	10.94	16.83	19.13		81	1	15286215079	0.30	7.00	3.00	1.00	CHN
COS21508	G20 LED FLASHLIGHT ORANGE BODY IN GIFT BOX	10.94	16.83	19.13		81	1	15286215086	0.30	7.00	3.00	1.00	CHN
COS19270	PX25 POWER CHIP FLASHLIGHT	29.39	45.22	61.45			1	15286192707	0.50	6.10	2.70	2.40	CHN
COS20341	A8R RECHARGEABLE LED PENLIGHT	29.39	45.22	61.45			1	15286203410	0.40	4.60	2.38	0.63	CHN
COS21513	A8R RECHARGEABLE FLASHLIGHT RED BODY IN GIFT BOX	29.39	45.22	56.30		81	1	15286215130	0.60	7.50	3.50	2.50	CHN
COS21514	A8R RECHARGEABLE FLASHLIGHT BLUE BODY IN GIFT BOX	29.39	45.22	56.30		81	1	15286215147	0.60	7.50	3.50	2.50	CHN
COS21515	A8R RECHARGEABLE FLASHLIGHT GREEN BODY IN GIFT BOX	29.39	45.22	56.30		81	1	15286215154	0.70	7.50	3.50	2.50	CHN
COS21516	A8R RECHARGEABL FLASHLIGHT ORANGE BODY IN GIFT BOX	29.39	45.22	56.30		81	1	15286215161	0.65	7.50	3.50	2.50	CHN
COS20818	HP3R RECHARGEABLE FOCUSING PENLIGHT	54.45	83.77	90.00		81	1	15286208187	0.50	8.66	5.91	3.35	CHN
COS21517	HP3R RECHARGEABLE FOCUSING PENLIGHT / RED BODY	54.45	83.77	90.00		81	1	15286215178	0.70	7.50	3.50	2.50	CHN
COS21518	HP3R RECHARGEABLE FOCUSING PENLIGHT / BLUE BODY	54.45	83.77	90.00		81	1	15286215185	0.70	7.50	3.50	2.50	CHN
COS21519	HP3R RECHARGEABLE FOCUSING PENLIGHT / GREEN BODY	54.45	83.77	90.00		81	1	15286215192	0.75	7.50	3.50	2.50	CHN
COS21521	HP3R RECHARGEABLE FOCUSING PENLIGHT / ORANGE BODY	54.45	83.77	90.00		81	1	15286215215	0.70	7.50	3.50	2.50	CHN
COS21522	HP5R RECHARGEABLE FLASHLIGHT RED BODY IN GIFT BOX	78.94	121.45	140.83		81	1	15286215222	1.15	7.00	6.00	3.00	CHN
COS21523	HP5R RECHARGEABLE FLASHLIGHT BLUE BODY IN GIFT BOX	78.94	121.45	140.83		81	1	15286215239	0.75	7.00	6.00	3.00	CHN
COS21524	HP5R RECHARGEABL FLASHLIGHT GREEN BODY IN GIFT BOX	78.94	121.45	140.83		81	1	15286215246	0.75	7.00	6.00	3.00	CHN
COS21525	HP5R RECHARGEAB FLASHLIGHT ORANGE BODY IN GIFT BOX	78.94	121.45	140.83		81	1	15286215253	1.15	7.00	6.00	3.00	CHN
COSHP5R	HP5R RECHARGEABLE FOCUSING LED FLASHLIGHT	78.94	121.45	153.72		81	1	15286192202	1.15	7.00	4.50	3.00	CHN
COS19221	HP7R RECHARGEABLE FOCUSING LED FLASHLIGHT	89.25	137.31	180.87		81	1	15286192219	1.90	8.75	6.00	3.25	CHN
COS21526	HP7R RECHARGEABLE FLASHLIGHT RED BODY IN GIFT BOX	89.25	137.31	165.70		81	1	15286215260	1.85	9.00	6.50	3.50	CHN
COS21527	HP7R RECHARGEABLE FLASHLIGHT BLUE BODY IN GIFT BOX	89.25	137.31	165.70		81	1	15286215277	1.85	9.00	6.00	4.00	CHN
COS21528	HP7R RECHARGEABL FLASHLIGHT GREEN BODY IN GIFT BOX	89.25	137.31	165.70		81	1	15286215284	1.85	9.00	6.00	4.00	CHN
COS21529	HP7R RECHARGEAB FLASHLIGHT ORANGE BODY IN GIFT BOX	89.25	137.31	165.70		81	1	15286215291	2.00	7.00	4.00	3.00	CHN
ATEATTD-APEX12	"12,000 LB. CAPACITY OVERHEAD 2-POST LIFT, ETL/ALI"	2824.85	3395.00	3395.00		139	1		0.00	0	0	0	CHN
DEVFLG-670	FINISHLINE SOLVENT-BASED VALUE KIT	205.00	291.46	291.46		190	1	658701035588	3.00	10.00	5.75	5.50	MEX
DEVFLG-671	FINISHLINE WATERBORNE VALUE KIT	205.00	291.46	291.46		190	1	658701035595	2.65	10.00	6.00	6.00	MEX
DWTDCBL720B	DEWALT 20V BLOWER BARE	162.42	232.03	232.03			1	885911459303	8.00	23.00	15.00	7.75	0
EXTEX1603SCBK	"16_ 3 DRAWER, 1 SHELF SIDE CABINET - BLACK"	494.68	659.89	659.89			1	892562002642	4.00	3.00	2.00	1.00	CHN
EXTEX1603SCBL	"16_ 3 DRAWER, 1 SHELF SIDE CABINET"	494.68	659.89	659.89			1	892562002659	4.00	3.00	2.00	1.00	CHN
EXTEX1606SBBK	16_ 6 DRAWER SIDE BOX - BLACK	455.88	609.13	609.13			1	892562002697	92.00	36.00	22.00	22.00	CHN
EXTEX1606SBBL	16_ SIDE BOX FOR EX 56_ OR 41_ SERIES BLUE	455.88	609.13	609.13			1		94.80	18.11	15.86	34.76	0
EXTEX3204TCBK	32_ TOOL CART - BLACK	540.51	772.16	844.23			1	892562002796	181.00	34.00	25.00	30.00	CHN
EXTEX3204TCBL	32_ TOOL CART - BLUE	540.51	772.16	844.23			1	892562002802	0.00	0.00	0.00	0.00	CHN
EXTEX3204TCRD	32_ TOOL CART - RED	540.51	772.16	844.23			1	892562002819	159.00	36.00	32.25	22.00	CHN
EXTEX5501HCBK	55_ EXTREME TOOLS POWER WORK STATIONHUTCH - BLACK	1455.36	1772.62	1772.62			1	892562002086	286.00	30.00	55.00	26.38	CHN
EXTEX5501HCBL	55_ EXTREME TOOLS POWER WORK STATION HUTCH IN BLUE	1455.36	1772.62	1772.62			1	892562002093	286.00	30.00	55.00	26.38	CHN
EXTEX7217RCBK	72_  17 DRAWER TRIPLE BANK ROLLER CABINET IN BLACK	3442.52	4172.14	4172.14			1	892562002710	1080.00	72.00	45.00	30.00	CHN
EXTEX7217RCBL	72_ 17 DRAWER TRIPLE BANK ROLLER CABINET IN BLUE	3442.52	4172.14	4172.14			1	892562002741	1080.00	72.00	45.00	30.00	CHN
EXTGW192503SLBKC	"19IN 3-DRAWER,2-SHELF SIDE LOCKER,BLACK-CHRME HNDL"	836.16	1143.03	1143.03			1		0.00	0	0	0	CHN
