ISN Part Number	Description	Cost	Special Retail	Regular Retail	Catalog Page	TW Page	UOM	UPC Code	Weight	Length	Width	Height	Country of Origin
KDT89018	GEARWRENCH BITSOC 1/8 1/4D PASS THRU HEX MALE	2.09	3.22	4.68			1	82171890185	0.04	1.50	0.50	0.50	CHN
KDT89019	GEARWRENCH SOC 13MM 1/4D PASS THRU SQ	2.09	3.22	4.68			1	82171890192	0.04	1.50	0.50	0.50	CHN
KDT89020	1/4_DR(13MM)GEARRAT SQ DRBIT S	2.09	3.22	4.68			1	82171890208	0.10	1.00	1.00	1.00	0
KDT89021	1/4_DR(13MM)GEARRAT SQ DRBIT S	2.09	3.22	4.68			1	82171890215	0.10	1.00	1.00	1.00	0
KDT890080GD	NUT DRIVER SHAFT 1/4_	3.28	5.05	7.37			1	82171800801	0.09	4.50	0.50	0.50	CHN
KDT890100GD	NUT DRIVER SHAFT 5/16_	3.28	5.05	7.37			1	82171801006	0.09	4.50	0.25	0.25	TWN
KDT891060GD	NUT DRIVER SHAFT 6MM	3.28	5.05	7.37			1	82171910609	0.18	5.00	0.50	0.50	TWN
KDT891070GD	NUT DRIVER SHAFT 7MM	3.28	5.05	7.37			1	82171810701	0.09	4.25	0.25	0.25	TWN
KDT890120GD	NUT DRIVER SHAFT 3/8_	3.57	5.49	8.00			1	82171901201	0.04	4.00	0.10	0.10	TWN
KDT890140GD	"NUT DRIVER SHAFT 7/16,_"	3.57	5.49	8.00			1	82171901409	0.11	4.50	0.50	0.50	TWN
KDT891090GD	NUT DRIVER SHAFT 9MM	3.57	5.49	8.00			1	82171910906	0.18	5.00	0.50	0.50	TWN
KDT891100GD	NUT DRIVER SHAFT 10MM	3.57	5.49	8.00			1	82171911002	1.00	6.00	6.00	2.00	TWN
KDT89022	GEARWRENCH SOC T40 3/8D PASS THRU SQ MALE	2.79	4.29	6.28			1	82171890222	0.10	3.00	2.00	1.00	CHN
KDT89023	GEARWRENCH SOC T45 3/8D PASS THRU EXT TRX MALE	2.79	4.29	6.28			1	82171890239	0.15	2.00	1.00	1.00	CHN
KDT89024	GEARWRENCH SOC T47 3/8D PASS THRU	2.79	4.29	6.28			1	82171890246	0.25	2.00	1.00	1.00	CHN
KDT89025	GEARWRENCH SOC T50 3/8D PASS THRU EXT TRX MALE	2.79	4.29	6.28			1	82171890253	0.10	2.00	0.75	0.75	CHN
KDT89027	GEARWRENCH SOC 9/64 3/8D PASS THRU HEX MALE	2.79	4.29	6.28			1	82171890277	0.10	1.90	0.60	0.60	CHN
KDT89028	GEARWRENCH SOC 5/32 3/8D ALLEN PASS THRU HEX MALE	2.79	4.29	6.28			1	82171890284	0.10	2.00	0.75	0.75	CHN
KDT89029	GEARWRENCH BITSOC 20MM 3/8D PASS THRU HEX	2.79	4.29	6.28			1	82171890291	0.10	1.75	0.75	0.75	CHN
KDT89030	GEARWRENCH BITSOC 7/32 3/8D HEX MALE	2.79	4.29	6.28			1	82171890307	0.50	5.00	2.00	1.00	CHN
KDT89031	GEARWRENCH SOC 1/4 3/8D PASS THRU HEX	2.79	4.29	6.28			1	82171890314	0.15	2.00	1.00	1.00	CHN
KDT89034	GEARWRENCH SOC 4MM 3/8D ALLEN PASS THRU HEX MALE	2.79	4.29	6.28			1	82171890345	0.10	2.00	0.75	0.75	CHN
KDT89035	GEARWRENCH SOC 5MM 3/8D PASS THRU HEX	2.79	4.29	6.28			1	82171890352	0.10	2.00	0.75	0.25	CHN
KDT89036	GEARWRENCH SOC 6MM 3/8D HEX MALE	2.79	4.29	6.28			1	82171890369	0.10	2.00	2.00	1.00	CHN
KDT89037	GEARWRENCH SOC 7MM 3/8D PASS THRU HEX	2.79	4.29	6.28			1	82171890376	0.10	1.91	0.77	0.77	CHN
KDT89038	GEARWRENCH SOC 8MM 3/8D PASS THRU HEX	2.79	4.29	6.28			1	82171890383	0.10	2.00	0.50	0.50	CHN
KDT89026	GEARWRENCH SOC T55 3/8D PASS THRU EXT TRX MALE	2.99	4.60	6.74			1	82171890260	0.13	2.00	0.75	0.75	CHN
KDT89032	SOC 5/16 3/8D HEX MALE	2.99	4.60	6.74			1	82171890321	0.15	2.00	0.75	0.25	CHN
KDT89033	SOC 3/8 3/8D HEX MALE	2.99	4.60	6.74			1	82171890338	0.10	2.00	0.75	0.75	CHN
KDT89039	GEARWRENCH BITSOC 10MM 3/8D PASS THRU HEX	2.99	4.60	6.74			1	82171890390	0.15	1.87	0.77	0.77	CHN
KDT89098	SET RAT FLX FLR NUT 3PC SAE	30.05	46.23	67.22			1	99575890987	1.90	15.00	6.00	1.00	CHN
KDT89099	SET RAT FLX FLR NUT 3PC MET	30.05	46.23	67.22			1	99575890994	1.85	15.00	6.50	1.60	CHN
KDT89102	RATCHETING FLEX FLARE NUT WRENCH 9X11MM	16.94	26.06	31.90			1	99575891021	0.35	9.00	3.00	0.50	0
KDT89109	RATCHETING FLEX FLARE NUT WRENCH 1/4_X5/16_	16.94	26.06	31.90			1	99575891090	0.20	6.50	0.15	0.05	CHN
KDT89140	3/8_ DRIVE CROWFOOT WRENCH RATCHETING 10MM	6.99	10.75	13.66			1	99575891403	0.05	4.00	2.00	0.50	0
KDT89141	3/8_ DRIVE CROWFOOT WRENCH RATCHETING 11MM	6.99	10.75	13.66			1	99575891410	1.50	1.50	1.50	1.50	0
KDT89142	3/8_ DRIVE CROWFOOT WRENCH RATCHETING 12MM	6.99	10.75	13.43			1	99575891427	0.10	3.75	2.00	0.63	0
KDT89143	3/8_ DRIVE CROWFOOT WRENCH RATCHETING 13MM	6.99	10.75	13.43			1	99575891434	0.04	1.50	1.00	0.50	CHN
KDT89144	3/8_ DRIVE CROWFOOT WRENCH RATCHETING 14MM	8.04	12.37	13.58			1	99575891441	0.06	2.00	2.00	0.25	CHN
KDT89145	3/8_ DRIVE CROWFOOT WRENCH RATCHETING 15MM	8.04	12.37	13.58			1	99575891458	0.15	1.50	1.50	1.00	0
KDT89147	3/8_ DRIVE CROWFOOT WRENCH RATCHETING 17MM	7.80	12.00	15.24			1	99575891472	0.15	4.20	2.00	0.50	CHN
KDT89148	3/8_ DRIVE CROWFOOT WRENCH RATCHETING 18MM	7.80	12.00	15.24			1	99575891489	0.10	4.00	2.00	0.75	CHN
KDT9008	GEARWRENCH WR 1/4 RAT COMB 12PT	8.67	13.34	17.61			1	82171090080	0.10	4.60	1.70	0.20	CHN
KDT9010	GEARWRENCH WR 5/16 RAT COMB 12PT	8.67	13.34	17.61			1	82171090103	0.10	4.40	1.40	0.40	CHN
KDT9011	GEARWRENCH WR 11/32 COMB 12PT	8.67	13.34	17.61			1	82171090110	0.05	8.50	2.20	0.30	CHN
KDT9012	GEARWRENCH WR 3/8 RAT COMB 12PT	10.40	16.00	19.13			1	82171090127	0.15	4.30	1.40	0.40	CHN
KDT9110	GEARWRENCH WR 10MM RAT COMB 12PT	10.40	16.00	19.13			1	82171091100	0.14	8.50	2.00	0.40	CHN
KDT9500	GEARWRENCH WR 3/8 RAT COMB STUBY 12PT	10.40	16.00	19.13			1	82171095009	0.10	4.60	1.50	0.40	CHN
KDT9510	GEARWRENCH WR 10MM RAT COMB STUBY 12PT	10.40	16.00	19.13			1	82171095108	0.01	4.50	1.30	0.40	CHN
SAS5330	NSX TURBO SAFETY GLASSES CLEAR LENS POLYBAG	1.39	1.99	1.99		203	1	781311053304	0.07	5.50	2.00	1.75	TWN
KTI74906	CAR CREEPER SEAT	41.64	57.06	57.06			1	769622749062	28.55	25.50	16.75	6.00	CHN
PEL076000-0000-110	7600 944 LUMEN TACTICAL FLASHLIGHT	73.99	101.25	101.25		82	1	19428138974	0.65	8.00	5.00	1.50	CHN
KDT9016	GEARWRENCH WR 1/2 RAT COMB 12PT	13.73	21.12	23.53			1	82171090165	0.25	9.25	2.00	0.50	CHN
KDT9113	GEARWRENCH WR 13MM RAT COMB 12PT	13.73	21.12	23.53			1	82171091131	0.25	9.50	1.75	0.50	CHN
KDT9502	GEARWRENCH WR 1/2 RAT COMB STUBY 12PT	13.73	21.12	23.53			1	82171095023	0.20	5.30	1.70	0.50	CHN
KDT9513	GEARWRENCH WR 13MM RAT COMB STUBY 12PT	13.73	21.12	23.53			1	82171095139	0.15	4.30	1.70	0.50	CHN
KDT9018	GEARWRENCH WR 9/16 RAT COMB 12PT	12.41	19.09	24.98			1	82171090189	0.30	9.00	2.00	0.20	CHN
KDT9114	GEARWRENCH WR 14MM RAT COMB 12PT	12.41	19.09	24.98			1	82171091148	0.25	7.40	1.30	0.30	CHN
KDT9503	GEARWRENCH WR 9/16 RAT COMB STUBY 12PT	12.41	19.09	24.98			1	82171095030	0.20	5.60	1.50	0.50	CHN
KDT9514	GEARWRENCH WR 14MM RAT COMB STUBY 12PT	12.41	19.09	24.98			1	82171095146	0.20	5.30	1.30	0.60	CHN
KDT9020	GEARWRENCH WR 5/8 RAT COMB 12PT	15.55	23.92	27.91			1	82171090202	0.35	9.50	2.50	1.00	CHN
KDT9116	GEARWRENCH WR 16MM RAT COMB 12PT	15.55	23.92	27.91			1	82171091162	0.30	8.00	0.90	0.20	CHN
KDT9504	GEARWRENCH WR 5/8 RAT COMB STUBY 12PT	15.55	23.92	27.91			1	82171095047	0.25	6.20	1.80	0.60	CHN
KDT9516	GEARWRENCH WR 16MM RAT COMB STUBY 12PT	15.55	23.92	27.91			1	82171095160	0.20	4.20	0.60	0.20	CHN
KDT9022	GEARWRENCH WR 11/16 RAT COMB 12PT	14.63	22.51	29.40			1	82171090226	0.40	8.90	1.60	0.20	CHN
KDT9117	GEARWRENCH WR 17MM RAT COMB 12PT	14.63	22.51	29.40			1	82171091179	0.40	10.90	1.30	0.30	CHN
KDT9505	GEARWRENCH WR 11/16 RAT COMB STUBY 12PT	14.63	22.51	29.40			1	82171095054	0.30	5.90	1.80	0.40	CHN
KDT9517	GEARWRENCH WR 17MM RAT COMB STUBY 12PT	14.63	22.51	29.40			1	82171095177	0.30	5.60	1.80	0.70	CHN
KDT9024	GEARWRENCH WR 3/4 RAT COMB 12PT	16.05	24.69	32.34			1	82171090240	0.55	12.00	2.00	0.60	CHN
KDT9118	GEARWRENCH WR 18MM RAT COMB 12PT	16.05	24.69	32.34			1	82171091186	0.50	9.00	1.00	0.30	CHN
KDT9119	GEARWRENCH WR 19MM RAT COMB 12PT	16.05	24.69	32.34			1	82171091193	0.60	12.00	2.00	1.00	CHN
KDT9506	GEARWRENCH WR 3/4 RAT COMB STUBY 12PT	16.05	24.69	32.34			1	82171095061	0.35	6.60	1.90	0.50	CHN
KDT9518	GEARWRENCH WR 18MM RAT COMB STUBY 12PT	16.05	24.69	32.34			1	82171095184	0.30	6.40	1.90	0.50	CHN
KDT9519	GEARWRENCH WR 19MM RAT COMB STUBY 12PT	16.05	24.69	32.34			1	82171095191	0.35	5.50	2.00	0.70	CHN
KDT9026	GEARWRENCH WR 13/16 RAT COMB 12PT	20.06	30.86	40.15			1	82171090264	0.80	11.60	1.20	0.20	CHN
KDT9028	GEARWRENCH WR 7/8 RAT COMB 12PT	20.06	30.86	40.15			1	82171090288	0.80	11.70	1.20	0.20	CHN
KDT9120	GEARWRENCH WR 20MM COMB 12PT	20.06	30.86	40.15			1	82171091209	0.85	14.00	2.50	0.40	CHN
KDT9121	GEARWRENCH WR 21MM RAT COMB 12PT	20.06	30.86	40.15			1	82171091216	0.70	10.20	1.00	0.30	CHN
KDT9122	GEARWRENCH WR 22MM RAT COMB 12PT	20.06	30.86	40.15			1	82171091223	0.70	11.20	1.10	0.20	CHN
ACC20-3909	HEAVY DUTY TORQUE SOCKET 1_ DRIVE 33 MM 475 FT LBS	101.00	144.28	144.28			1	769622309099	4.15	12.00	2.25	2.25	SWE
KDT9032	GEARWRENCH WR 1_ RAT COMB 12PT	27.07	41.65	43.80			1	82171090325	0.90	15.70	3.00	0.40	CHN
KDT9124	GEARWRENCH WR 24MM RAT COMB 12PT	27.07	41.65	43.80			1	82171091247	1.25	15.00	1.70	0.20	CHN
KDT9125	GEARWRENCH WR 25MM RAT COMB 12PT	27.07	41.65	43.80			1	82171091254	1.15	13.10	1.70	0.20	CHN
KDT9034	GEARWRENCH WR 1-1/16 RAT COMB 12PT	30.62	47.11	52.55			1	82171090349	1.50	16.90	3.90	1.10	CHN
KDT9036	GEARWRENCH WR 1-1/8 COMB 12PT	30.62	47.11	52.55			1	82171090363	2.06	18.00	3.25	0.75	CHN
KDT9044	WR 1-9/16 RAT COMB JUMBO 12PT	67.48	103.82	118.49			1	82171090448	6.02	23.50	4.00	1.00	CHN
KDT9046	WR 1-5/8 RAT COMB JUMBO 12PT	67.48	103.82	118.49			1	82171090462	5.82	23.00	4.00	1.00	CHN
KDT9141	WR 41MM RAT COMB JUMBO 12PT	67.48	103.82	118.49			1	82171091414	5.83	23.00	4.00	1.00	CHN
KDT9048	WR 1-11/16 RAT COMB JUMBO 12PT	72.61	111.71	142.16			1	82171090486	6.58	25.00	4.00	1.00	CHN
KDT9050	WR 1-3/4 RAT COMB JUMBO 12PT	72.61	111.71	142.16			1	82171090509	6.60	25.00	4.00	1.00	CHN
KDT9052	WR 1-13/16 RAT COMB JUMBO 12PT	84.72	130.34	170.62			1	82171090523	8.22	26.00	4.00	1.00	CHN
KDT9054	WR 1-7/8 RAT COMB JUMBO 12PT	84.72	130.34	170.62			1	82171090547	7.98	26.00	4.50	1.50	CHN
KDT9146	WR 46MM RAT COMB JUMBO 12PT	84.72	130.34	170.62			1	82171091469	8.27	26.00	4.00	1.00	CHN
KDT9056	WR 2_ RAT COMB JUMBO 12PT	107.79	158.51	204.73			1	82171090561	8.30	26.00	4.25	1.25	CHN
KDT9150	WR 50MM RAT COMB JUMBO 12PT	107.79	158.51	204.73			1	82171091506	9.00	26.50	4.50	1.00	CHN
KDT9060	WR 1-5/16 RAT COMB JUMBO 12PT	33.95	52.23	68.21			1	82171090608	2.70	18.50	3.00	1.00	CHN
KDT9062	WR 1-3/8 RAT COMB JUMBO 12PT	33.95	52.23	68.21			1	82171090622	2.90	18.00	4.00	1.00	CHN
KDT9108	GEARWRENCH WR 8MM RAT COMB 12PT	10.71	16.48	17.61			1	82171091087	0.10	5.10	1.20	0.40	CHN
KDT9109	GEARWRENCH WR 9MM RAT COMB 12PT	10.71	16.48	17.61			1	82171091094	0.10	5.90	1.20	0.40	CHN
MGPMP-AR15	MAGPUMP .223/5.56 MOLDED WITH MAGDUMP	114.00	163.00	163.00			1	613103060019	3.10	12.75	9.50	4.25	USA
KDT9115	GEARWRENCH WR 15MM RAT COMB 12PT	14.74	22.68	26.49			1	82171091155	0.35	10.30	2.00	0.50	CHN
KDT9515	GEARWRENCH WR 15MM RAT COMB STUBY 12PT	14.74	22.68	26.49			1	82171095153	0.20	4.30	1.70	0.50	CHN
KDT9207	GEARWRENCH RATCHET ADAPTER 1/4_ DR FOR 10MM WRENCH	5.22	8.03	11.76			1	82171092077	0.05	5.00	3.50	1.00	TWN
KDT9217	GEARWRENCH RATCHET ADAPTER 1/4_ DR FOR 3/8 WRENCH	5.22	8.03	11.76			1	82171092176	1.00	8.00	2.00	1.00	TWN
KDT9208	GEARWRENCH RATCHET ADAPTER 3/8_ DR FOR 13MM WRENCH	6.48	9.97	12.67			1	82171092084	0.10	4.50	3.50	1.50	TWN
KDT9218	GEARWRENCH RATCHET ADAPTER 3/8_ DR FOR 1/2 WRENCH	6.48	9.97	12.67			1	82171092183	0.10	5.00	3.50	5.00	TWN
KDT9209	GEARWRENCH RATCHET ADAPTER 1/2_ DR FOR 19MM WRENCH	6.48	9.97	14.40			1	82171092091	0.20	5.00	3.50	1.00	TWN
KDT9219	GEARWRENCH RATCHET ADAPTER 1/2_ DR FOR 3/4 WRENCH	6.48	9.97	14.40			1	82171092190	0.15	4.60	2.80	1.50	TWN
KDT93004	5PC MET COMBO RATCHETING WRE	23.75	36.54	50.79			1	99575930041	1.15	12.00	8.50	0.30	0
KDT93005	5PC SAE GEARWRENCH            	23.75	36.54	50.79			1	99575930058	1.15	12.00	8.50	0.30	0
KDT9304	WRENCH RATCHING COMB. SET SAE 4 PC GEARWRENCH	45.09	69.37	84.44			1	82171093043	0.90	9.80	7.00	0.70	CHN
KDT9404	WRENCH RATCHING COMB. SET METRIC 4 PC GEARWRENCH	45.09	69.37	84.44			1	82171094040	0.95	10.10	7.00	0.60	CHN
KDT9317	WRENCH RATCHING COMB. SET SAE 7 PC GEARWRENCH	52.68	81.05	110.18			1	82171093173	2.05	11.10	11.00	0.70	CHN
KDT9417	WRENCH RATCHING COMB. SET METRIC 7 PC GEARWRENCH	52.68	81.05	110.18			1	82171094170	2.15	11.50	11.00	0.70	CHN
KDT9260	GEARWRENCH WRENCH RATCHETING DBLE BOX END SET MET 6 PC GEARWR	87.74	134.98	165.18			1	82171092602	1.70	13.20	7.00	0.90	CHN
KDT9413	GEARWRENCH WRENCH RATCHING COMB SET 4PC 21-25MM GR	87.74	134.98	165.13			1	82171094132	4.90	15.20	10.50	1.60	CHN
FPW0558102240	REBEL EMP 215IC MIG/TIG/STICK PKG	1555.25	1999.00	1999.00		160	1	822635033044	80.00	34.00	20.00	13.00	CHN
KTI23081	BREAKER BAR 24 INCH 1/2 DRIVE	37.17	53.10	53.10			1	769622230812	3.20	24.00	2.00	1.25	TWN
OTC3840F	LAB SCOPE 2-CHANNEL OSCILLISCOPE	1297.03	1621.29	1621.29			1	731413548383	8.32	16.00	12.60	4.40	KOR
KTI90002C	Q-BOND ADHESIVE KIT FOR CANADA	11.81	16.56	16.56			1	769622990020	0.01	3.50	2.00	2.00	ZAF
KTI72002	RUBBER AIR HOSE 3/8_ X 50'	29.68	41.64	41.64		100	1	769622720023	6.70	10.00	10.00	5.00	IND
KDT9529	GEARWRENCH WR 9/16 REV COMB 12PT 15 DEG	16.90	26.00	30.66			1	82171095290	0.30	10.00	2.00	1.00	CHN
KDT9614	GEARWRENCH WR 14MM REV COMB 12PT 15 DEG	16.90	26.00	30.66			1	82171096143	0.30	10.00	1.50	0.50	CHN
KDT9530	GEARWRENCH WR 5/8 RAT COMB 12PT 15 DEG	19.13	29.43	34.31			1	82171095306	0.45	10.10	1.70	0.60	CHN
KDT9616	GEARWRENCH WR 16MM REV COMB 12PT 15 DEG	19.13	29.43	34.31			1	82171096167	0.40	10.20	1.70	0.50	CHN
KDT9531	GEARWRENCH WR 11/16 REV COMB 12PT 15 DEG	17.89	27.52	36.11			1	82171095313	0.50	10.80	1.50	0.60	CHN
KDT9617	GEARWRENCH WR 17MM REV COMB 12PT 15 DEG	17.89	27.52	36.11			1	82171096174	0.20	10.70	1.70	0.10	CHN
KDT9532	GEARWRENCH WR 3/4 REV COMB 12PT 15 DEG	19.53	30.05	39.76			1	82171095320	0.60	11.70	1.20	0.40	CHN
KDT9618	GEARWRENCH WR 18MM REV COMB 12PT 15 DEG	19.53	30.05	39.76			1	82171096181	0.50	11.40	1.20	0.30	CHN
KDT9619	GEARWRENCH WR 19MM REV COMB 12PT 15 DEG	19.53	30.05	39.76			1	82171096198	0.60	9.90	1.30	0.20	CHN
KDT9534	WR 13/16 REV COMB 12PT 15 DEG	23.91	36.78	48.13			1	82171095344	0.95	14.00	2.20	2.20	CHN
KDT9538	GEARWRENCH WR 7/8 REV COMB 12PT 15 DEG	23.91	36.78	48.13			1	82171095382	0.75	3.90	2.70	0.20	TWN
KDT9621	GEARWRENCH WR 21MM REV COMB 12PT 15 DEG	23.91	36.78	48.13			1	82171096211	0.50	14.00	1.50	0.75	CHN
KDT9622	GEARWRENCH WR 22MM REV COMB 12PT	23.91	36.78	48.13			1	82171096228	0.90	15.00	2.50	1.50	CHN
KDT9539	GEARWRENCH WR 15/16 REV COMB 12PT 15 DEG	28.04	43.14	56.46			1	82171095399	1.30	15.20	2.80	1.00	CHN
KDT9540	GEARWRENCH WR 1_ REV COMB 12PT 15 DEG	28.04	43.14	56.46			1	82171095405	1.15	13.80	2.50	0.20	CHN
KDT9624	GEARWRENCH WR 24MM REV COMB 12PT 15 DEG	28.04	43.14	56.46			1	82171096242	0.75	15.50	2.50	1.50	CHN
KDT9625	GEARWRENCH WR 25MM REV COMB 12PT	28.04	43.14	56.46			1	82171096259	1.30	6.90	2.50	1.10	CHN
KDT9545	4 PIECE REVERSIBLE GEARWRENCH COMPLETER SET SAE	92.13	141.74	197.92			1	82171954504	4.15	15.00	13.50	2.50	CHN
KDT9601	4PC GEARWRENCH REVERSIBLE COMPLETER SET METRIC	92.13	141.74	197.92			1	82171960109	4.45	16.00	13.00	1.00	CHN
KDT9557	GEARWRENCH WR 16MM FLEX STUBY 12PT	19.95	30.69	34.01			1	82171095573	0.35	7.00	2.00	1.10	TWN
KDT9705	GEARWRENCH WR 5/16 FLEX 12PT	19.95	30.69	34.01			1	82171097058	0.10	7.80	2.00	0.60	CHN
KDT9910	GEARWRENCH WR 10MM FLEX 12PT	19.95	30.69	34.01			1	82171099106	0.20	5.90	1.20	0.40	CHN
KDT85016	WR 16MM COMB GEAR WRENCH XL 12PT	19.18	29.51	31.07			1	82171850165	2.00	11.00	2.00	2.00	TWN
KDT85120	WR 5/8 COMB XL 12PT	19.18	29.51	31.07			1	82171851209	0.25	12.50	2.25	1.75	TWN
KTI78070	WIRE TIE 7IN. BLACK 100/PK 50LB TENSILE	3.98	5.69	5.69			1	769622780706	0.30	11.00	5.10	0.50	USA
COS20923	HP10R RECHARGEABLE LED FLASHLIGHT	109.99	161.75	190.00		81	1	15286209238	2.20	10.00	6.00	3.00	CHN
OTC3421-88	OBD II SMART CABLE	352.24	440.30	440.30			1	731413544163	1.41	12.75	9.25	2.00	CHN
KTI62116	1000 LB. ENGINE SUPPORT BAR	99.65	142.34	142.34		149	1	769622621160	44.00	69.00	8.00	8.00	CHN
KTI89030	"INFLATOR 120V AC/12V DC, 200 PSI"	38.98	55.68	55.68			1	769622890306	4.75	10.00	8.00	4.50	CHN
HNE5302	QUIK-PIK METRIC WRENCH RACK	4.54	6.48	6.48		92	1	656811053027	0.20	12.60	6.25	1.30	USA
KDT9713	GEARWRENCH WR 13/16 FLEX 12PT	34.09	52.45	64.44			1	82171097133	0.60	12.00	2.00	0.75	CHN
KDT9714	GEARWRENCH WR 7/8 COMB FLEX 12PT	34.09	52.45	64.44			1	82171097140	1.00	12.00	3.00	2.00	CHN
KDT9921	GEARWRENCH WR 21MM FLEX 12PT	34.09	52.45	64.44			1	82171099212	0.90	11.50	1.50	1.00	CHN
KDT9922	GEARWRENCH WR 22MM FLEX 12PT	34.09	52.45	64.44			1	82171099229	1.00	13.50	2.50	2.00	CHN
KDT9715	GEARWRENCH WR 15/16 FLEX 12PT	41.78	64.28	77.15			1	82171097157	1.40	15.50	2.50	1.70	CHN
KDT9716	GEARWRENCH WR 1_ FLEX 12PT	41.78	64.28	77.15			1	82171097164	1.45	8.00	3.00	2.00	CHN
KDT9924	GEARWRENCH WR 24MM FLEX 12PT	41.78	64.28	77.15			1	82171099243	1.43	12.00	3.00	2.00	CHN
KDT9925	GEARWRENCH WR 25MM FLEX 12PT	41.78	64.28	77.15			1	82171099250	1.00	12.00	2.00	1.00	CHN
KDT9843	GEARWRENCH WR 11/16 X 5/8 MOON 12PT	31.28	48.12	61.01			1	82171098437	0.55	4.00	2.00	2.00	TWN
KDT9854	GEARWRENCH WR 15MM X 17MM MOON 12PT	31.28	48.12	61.01			1	82171098543	0.55	7.80	3.20	0.50	TWN
KER8700LIMEBW	SHUFFLE LIME GREEN BLACKWASH	14.50	22.31	27.99		55	1	87171038681	0.30	5.00	1.50	1.25	CHN
KER8700PURBW	SHUFFLE PURPLE BLACKWASH	14.50	22.31	27.99		55	1	87171039107	0.30	5.00	1.50	1.25	CHN
KER8700TEALBW	SHUFFLE TEAL BLACKWASH	14.50	22.31	27.99		55	1	87171038728	0.30	5.00	1.50	1.25	CHN
KTI18001	"POZI BIT 1, 1/4_ DR"	0.57	0.81	0.81			1	769622180018	0.01	1.00	1.00	1.00	TWN
KTI18002	"POZI BIT 2, 1/4_ DR"	0.57	0.81	0.81			1	769622180025	0.01	1.00	1.00	1.00	TWN
KTI18003	"POZI BIT 3, 1/4_ DR"	0.57	0.81	0.81			1	769622180032	0.01	1.00	1.00	1.00	TWN
VMPVT-001-S4AP	"VAMPLIERS 4-PC SET S4A; 5_, 6.25_, 7_, 8_ + POUCH"	94.33	134.76	134.76			1	701748779479	2.20	10.65	5.10	2.00	JPN
KTI18110	"HEX BIT 1.5, 1/4 DR"	0.57	0.81	0.81			1	769622181107	0.01	1.00	1.00	1.00	TWN
KTI18112	"HEX BIT 2, 1/4_ DR"	0.57	0.81	0.81			1	769622181121	0.01	1.00	1.00	1.00	TWN
KTI18113	"HEX BIT 2.5, 1/4_ DR"	0.57	0.81	0.81			1	769622181138	0.01	1.00	1.00	1.00	TWN
KTI18114	"HEX BITS 3, 1/4_ DR"	0.57	0.81	0.81			1	769622181145	0.01	1.00	1.00	1.00	TWN
KTI18115	"HEX BITS  4, 1/4_ DR"	0.57	0.81	0.81			1	769622181152	0.01	1.00	1.00	1.00	TWN
KTI18116	"HEX BITS  5, 1/4_ DR"	0.57	0.81	0.81			1	769622181169	0.01	1.00	1.00	1.00	TWN
KTI18117	"HEX BIT 6, 1/4_ DR"	0.57	0.81	0.81			1	769622181176	0.01	1.00	1.00	1.00	TWN
KTI18118	"HEX BIT 5/32, 1/4_ DR"	0.57	0.81	0.81			1	769622181183	0.01	1.00	1.00	1.00	TWN
KTI18119	"HEX BIT  3/16, 1/4_ DR"	0.57	0.81	0.81			1	769622181190	0.01	1.00	1.00	1.00	TWN
KTI18120	"HEX BIT 7/32, 1/4_ DR"	0.57	0.81	0.81			1	769622181206	0.01	1.00	1.00	1.00	TWN
KTI18121	"HEX BIT 1/4, 1/4_ DR"	0.57	0.81	0.81			1	769622181213	0.01	1.00	1.00	1.00	TWN
KTI18123	"SLOTTED BIT 3/16, 1/4_ DR"	0.57	0.81	0.81			1	769622181237	0.01	1.00	1.00	1.00	TWN
KTI18124	"SLOTTED BIT 1/4, 1/4_ DR"	0.57	0.81	0.81			1	769622181244	0.01	1.00	1.00	1.00	TWN
KTI18201	"PHILLIPS BIT 1, 1/4_ DR"	0.57	0.81	0.81			1	769622182012	0.01	1.00	1.00	1.00	TWN
KTI18202	"PHILLIPS BIT 2, 1/4_ DR"	0.57	0.81	0.81			1	769622182029	0.01	1.00	1.00	1.00	TWN
KTI18203	"PHILLIPS BIT 3, 1/4_ DR"	0.57	0.81	0.81			1	769622182036	0.01	1.00	1.00	1.00	TWN
KTI18209	"TORX BIT T9, 1/4_ DR"	0.71	1.00	1.00			1	769622182098	0.01	1.00	1.00	1.00	TWN
OTC5790-PACK	HAMMER PACK WITH DISPLAY RACK	1329.97	1899.95	1899.95			1	731413580314	240.00	50.00	36.00	24.00	USA
KTI74971	ADJUSTABLE MECHANIC'S SEAT	60.66	83.30	83.30			1	769622749710	12.85	15.25	15.25	4.75	CHN
KTI18218	"TAMPERPROOF TORX BIT T8, 1/4_ DR"	0.71	1.00	1.00			1	769622182180	0.01	1.00	1.00	1.00	TWN
KTI18219	"TAMPERPROOF TORX BIT T9, 1/4_ DR"	0.71	1.00	1.00			1	769622182197	0.01	1.00	1.00	1.00	TWN
KTI18220	"TORX BIT T20, 1/4_ DR"	0.71	1.00	1.00			1	769622182203	0.01	1.00	1.00	1.00	TWN
KTI18221	"TAMPERPROOF TORX BIT T10, 1/4_ DR"	0.71	1.00	1.00			1	769622182210	0.01	1.00	1.00	1.00	TWN
KTI18222	"TAMPERPROOF TORX BIT T15, 1/4_ DR"	0.71	1.00	1.00			1	769622182227	0.01	1.00	1.00	1.00	TWN
